president_name,speech_title,speech_date,speech_duration
John F. Kennedy,Address to the UN General Assembly,"September 20, 1963",3496
Lyndon B. Johnson,Address on Vietnam to the Tennessee General Assembly,"March 15, 1967",3422
Grover Cleveland,Veto of Military Pension Legislation,"May 08, 1886",816
George H. W. Bush,Address Before a Joint Session of Congress,"February 09, 1989",4784
William McKinley,Fourth Annual Message,"December 03, 1900",19141
Franklin Pierce,Expansion of August 4 Veto Message,"December 30, 1854",7096
Ulysses S. Grant,Seventh Annual Message,"December 07, 1875",12200
Richard M. Nixon,State of the Union Address,"January 20, 1972",3968
Barack Obama,Statement on the Government Sequester,"March 01, 2013",5312
Woodrow Wilson,Speech of Acceptance,"September 02, 1916",5509
Ulysses S. Grant,Proclamation Regarding Fenian Brotherhood,"May 24, 1870",271
Thomas Jefferson,Special Message to Congress on Indian Policy,"January 18, 1803",1283
Ronald Reagan,Speech to the United Nations General Assembly,"June 17, 1982",3488
John F. Kennedy,Debate with Richard Nixon in New York and Los Angeles,"October 13, 1960",10849
Gerald Ford,Remarks on Clemency for Vietnam Era Draft Evaders,"September 16, 1974",591
Ulysses S. Grant,Sixth Annual Message,"December 07, 1874",9793
Ronald Reagan,Address on Central America,"April 27, 1983",4298
Woodrow Wilson,"Address at Congress Hall, Philadelphia","October 25, 1913",1943
Barack Obama,Address to the Nation on Immigration,"November 20, 2014",2222
Andrew Johnson,Executive Order Regarding Discharged Prisoners of War,"June 06, 1865",298
Grover Cleveland,Veto of Military Pension Legislation,"February 11, 1887",4195
Lyndon B. Johnson,Press Conference at the White House,"August 25, 1965",4869
Lyndon B. Johnson,"Speech at the Jung Hotel, New Orleans","October 09, 1964",4250
Theodore Roosevelt,Proclamation Declaring US Neutrality,"February 11, 1904",2210
Ronald Reagan,Farewell Address at the Republican National Convention,"August 15, 1988",4476
Dwight D. Eisenhower,Chance for Peace,"April 16, 1953",2891
Martin Van Buren,Third Annual Message to Congress,"December 02, 1839",13416
Franklin Pierce,Message Regarding US-Spanish Relations,"August 01, 1854",679
George W. Bush,Address to the Nation on the Terrorist Attacks,"September 11, 2001",594
Franklin D. Roosevelt,Fireside Chat 10: On New Legislation,"October 12, 1937",3269
Woodrow Wilson,"""A World League for Peace"" Speech","January 22, 1917",2680
Thomas Jefferson,First Annual Message,"December 08, 1801",3232
Ronald Reagan,Bergen-Belsen Concentration Camp,"May 05, 1985",1127
Donald Trump,Task Force Briefing on the Coronavirus Pandemic,"April 23, 2020",12330
James Monroe,Sixth Annual Message,"December 03, 1822",4729
John F. Kennedy,American University Commencement,"June 10, 1963",3387
Warren G. Harding,First Annual Message,"December 06, 1921",5595
Herbert Hoover,First State of the Union Address,"December 03, 1929",10987
George W. Bush,State of the Union Address,"January 23, 2007",5541
Abraham Lincoln,First Inaugural Address,"March 04, 1861",3621
Joe Biden,Remarks on the Middle East,"May 31, 2024",1854
John F. Kennedy,Remarks to a U.N. Delegation of Women,"December 11, 1961",461
John Quincy Adams,Message Regarding the Congress of American Nations,"December 06, 1825",1050
Andrew Johnson,Establishing Rewards for the Arrest of Certain Confederate Officers,"May 02, 1865",892
James Madison,Second Inaugural Address,"March 04, 1813",1210
Barack Obama,Address at Cairo University,"June 04, 2009",5955
Herbert Hoover,Message Regarding International Peace,"September 18, 1929",633
Theodore Roosevelt,Message Regarding Panama Canal,"January 08, 1906",1112
George H. W. Bush,Debate with Bill Clinton and Ross Perot,"October 11, 1992",16408
Martin Van Buren,Proclamation,"January 05, 1838",395
Bill Clinton,Remarks at the Signing of the Israeli-Palestinian Agreement,"September 13, 1993",1130
John F. Kennedy,Acceptance of the Democratic Party Nomination,"July 15, 1960",2482
Franklin D. Roosevelt,Dedication of a Memorial to the Northwest Territory,"July 08, 1938",1409
Bill Clinton,"Address to the People and Relief Workers of Grand Forks, ND","April 22, 1997",1204
Millard Fillmore,Announcement of Texas’ Acceptance of Compromise Propositions,"December 13, 1850",610
George Washington,Eighth Annual Message to Congress,"December 07, 1796",2864
Donald Trump,Statement on the Coronavirus,"March 11, 2020",1274
Grover Cleveland,Message Regarding the Financial Crisis,"January 28, 1895",2330
Joe Biden,Remarks on Situation in Afghanistan,"August 16, 2021",2363
Lyndon B. Johnson,Press Conference in the East Room,"June 01, 1965",4534
William McKinley,Proclamation Calling for Military Volunteers,"April 23, 1898",320
George Washington,Fifth Annual Message to Congress,"December 03, 1793",1823
Ronald Reagan,Remarks at the Veteran's Day Ceremony,"November 11, 1988",280
Andrew Johnson,Third Annual Message to Congress,"December 03, 1867",11983
Barack Obama,Remarks on the End of the War in Iraq,"October 21, 2011",964
Herbert Hoover,Speech Accepting the Republican Nomination,"August 11, 1932",7235
Lyndon B. Johnson,Thanksgiving Message,"November 28, 1963",2046
Andrew Jackson,Message Regarding South Carolina Nullification of Federal Legislation,"January 16, 1833",11442
Donald Trump,Remarks on National Security Strategy,"December 18, 2017",3038
Jimmy Carter,Speech on Afghanistan,"January 04, 1980",1354
Thomas Jefferson,Fourth Annual Message,"November 08, 1804",2094
Ulysses S. Grant,Proclamation Establishing US Neutrality,"August 22, 1870",1705
Franklin D. Roosevelt,Fireside Chat 25: On the Fall of Mussolini,"July 28, 1943",3489
George W. Bush,Graduation Speech at West Point,"June 01, 2002",2870
Franklin Pierce,Special Session Message Regarding Military Support,"August 21, 1856",903
John Tyler,Third Annual Message to Congress,"December 05, 1843",8026
John F. Kennedy,Report on the Berlin Crisis,"July 25, 1961",4039
Jimmy Carter,Acceptance Speech at the Democratic National Convention,"August 14, 1980",4625
Donald Trump,"Statement on the School Shooting in Parkland, Florida","February 15, 2018",698
Barack Obama,Remarks on Education and the Economy,"July 24, 2013",4415
Woodrow Wilson,First Inaugural Address,"March 04, 1913",1576
Ulysses S. Grant,Message Submitting State Constitutions to a Vote,"May 14, 1869",819
Thomas Jefferson,Eighth Annual Message,"November 08, 1808",2708
Ronald Reagan,State of the Union Address,"January 25, 1983",5536
James Buchanan,Message on the Capture of the Wildfire,"May 19, 1860",1422
George W. Bush,Hurricane Relief Address from New Orleans,"September 15, 2005",3307
Franklin D. Roosevelt,Fireside Chat 22: On Inflation and Food Prices,"September 07, 1942",3185
John F. Kennedy,Inaugural Address,"January 20, 1961",1341
John Tyler,Message Regarding US-Mexican Affairs,"December 18, 1844",1763
Joe Biden,Announcing the American Jobs Plan,"March 31, 2021",4402
William McKinley,Proclamation Regarding Blockade of Cuba,"April 22, 1898",444
Lyndon B. Johnson,Inaugural Address,"January 20, 1965",1479
Herbert Hoover,Fourth State of the Union Address,"December 06, 1932",4202
Barack Obama,2010 State of the Union Address,"January 27, 2010",7216
Andrew Johnson,Veto Message on Civil Rights Legislation,"March 27, 1866",4421
Andrew Jackson,Bank Veto,"July 10, 1832",8090
Lyndon B. Johnson,Press Conference at the State Department,"July 24, 1964",4495
Ronald Reagan,Speech to the Nation on Air Strikes Against Libya,"April 14, 1986",980
Woodrow Wilson,Address to Congress Requesting a Declaration of War Against Germany,"April 02, 1917",3666
Jimmy Carter,University of Notre Dame Commencement,"May 22, 1977",3181
Rutherford B. Hayes,Third Annual Message,"December 01, 1879",11633
James K. Polk,Message Regarding the Treaty of Guadalupe Hidalgo,"February 08, 1849",4142
Bill Clinton,Remarks at the Democratic National Convention,"August 29, 1996",7039
Harry S. Truman,Rear Platform Remarks,"October 22, 1952",1250
Franklin D. Roosevelt,Address to Congress on Yalta,"March 01, 1945",5926
William Taft,Second Annual Message,"December 06, 1910",27447
George H. W. Bush,Address Before a Joint Session of Congress on the End of the Gulf War,"March 06, 1991",2751
Benjamin Harrison,Fourth Annual Message,"December 06, 1892",13668
Lyndon B. Johnson,Speech on Vietnam,"September 29, 1967",2758
Calvin Coolidge,Inaugural Address,"March 04, 1925",4051
James Buchanan,Message on Threats to the Peace and Existence of the Union,"January 08, 1861",2002
James Madison,Special Message to Congress on the Foreign Policy Crisis -- War Message,"June 01, 1812",2850
Bill Clinton,First Inaugural,"January 20, 1993",1598
Theodore Roosevelt,Message Regarding Conditions in Panama,"December 17, 1906",11991
Richard M. Nixon,Radio Address About Second Annual Foreign Policy Report to the Congress,"February 25, 1971",3504
Benjamin Harrison,Third Annual Message,"December 09, 1891",16291
John F. Kennedy,Remarks at the Veterans Day Ceremony,"November 11, 1961",1030
Warren G. Harding,Inaugural Address,"March 04, 1921",3242
James Madison,"Proclamation upon British Depredations, Burning of the Capitol","September 01, 1814",694
Warren G. Harding,Speech Accepting the Republican Nomination,"June 12, 1920",6820
George Washington,Seventh Annual Message to Congress,"December 08, 1795",1976
Ronald Reagan,Debate with Walter Mondale (Domestic Issues),"October 07, 1984",15331
Rutherford B. Hayes,Veto Message Regarding Economic Legislation,"March 03, 1881",1245
